,winners,losers
p10,-0.0,1.5136352633961287
p25,0.0,2.019218473117886
p50,0.14093878038309118,3.263782381129352
p75,0.7233425341106295,5.088512094578828
p90,1.634628160123855,5.962623951182301
p95,2.5338396225599253,6.990399385560679
p100,5.310859644385775,23.621652865626178
