config,trades,win_rate,total_pnl,expectancy,profit_factor,sharpe,max_dd_pct,avg_win,avg_loss,worst_trade,stopped,level_broke,modelled_exits
current: PT50 / no stop,214,0.9158878504672897,50356.35873675976,235.31008755495213,1.4025359257857435,0.49317039926942957,-0.2370189521292681,895.1742792691821,-6949.877777777774,-11768.400000000005,0,0,0.8271028037383178
PT50 + stop 2x credit,223,0.8654708520179372,55995.91601224791,251.10276238676192,1.3569544681430339,0.59825149499406,-0.20757804765246043,1102.9390091696055,-5229.043758582865,-13076.000000000004,23,0,0.905829596412556
PT50 + stop 2.5x credit,223,0.8789237668161435,74807.34261423076,335.458935489824,1.503227311222177,0.7280475316283133,-0.20608129008825027,1140.114871589942,-5505.747119162883,-14383.600000000004,18,0,0.8923766816143498
PT50 + level-break stop,243,0.5308641975308642,-23855.413274243558,-98.17042499688706,0.7544680409376497,-0.22571214252911598,-0.35215322573001756,568.2377124469402,-852.2638436833231,-4655.290571036811,0,140,0.7818930041152263
"hold to expiry, no stop",180,0.8555555555555555,40186.50000000006,223.25833333333367,1.2974448894458197,0.41547838278635435,-0.33242231826513996,1138.261038961039,-5196.373076923075,-10460.800000000003,0,0,0.0
