run,trades,win_rate,total_pnl,expectancy,profit_factor,sharpe,max_dd_pct,worst_trade
baseline (fixed 5%/14d),293,0.8873720136518771,15193.714094587693,51.85567950371226,1.4214692642481623,0.5398636727380437,-0.06527347967685986,-1815.1999999999994
filter (fixed structure),218,0.9174311926605505,11946.256139371244,54.79934008885892,1.6064843668055797,0.5903136173003373,-0.03778258920792379,-1765.2
selector (model picks structure),316,0.9082278481012658,-5050.4524571637085,-15.98244448469528,0.8395902626620643,-0.21840798012551435,-0.09907495439098583,-1971.2
