leverage,sessions_with_open_risk,peak_open_risk_pct,worst_10pct_gap,median_10pct_gap,worst_20pct_gap,median_20pct_gap,worst_34pct_gap,median_34pct_gap,worst_50pct_gap,median_50pct_gap,worst_34_date
1.0,450,0.10006974643933181,-0.09087626498874814,-0.016112022403179455,-0.10006974643933181,-0.0179534241065865,-0.10006974643933181,-0.0179534241065865,-0.10006974643933181,-0.0179534241065865,2025-11-21
2.0,449,0.20524805959086714,-0.17944873409031176,-0.034799340518311635,-0.20422061776331255,-0.038644464377549655,-0.20524805959086714,-0.038644464377549655,-0.20524805959086714,-0.038644464377549655,2025-04-07
4.0,449,0.4287995345160889,-0.3644334864635879,-0.07581042885293214,-0.424496620078407,-0.0781630593131429,-0.4287995345160889,-0.0781630593131429,-0.4287995345160889,-0.0781630593131429,2025-04-07
6.0,449,0.6657188190702894,-0.5662595554590311,-0.11466337766258067,-0.6556066010639476,-0.118634336022694,-0.6657188190702894,-0.118634336022694,-0.6657188190702894,-0.118634336022694,2025-04-07
