year,baseline (fixed 5%/14d),filter (fixed structure),selector (model picks structure)
2020,171.4564010506696,,
2021,208.35373554107946,-1305.983607237505,645.765187972252
2022,-2773.7558172370605,115.08052297647444,-3480.837894926849
2023,1077.743761526673,980.4642165303303,2687.42418926536
2024,121.37661928702073,1101.2881712690698,297.63481308384075
2025,11114.760607228694,6683.94568654856,626.3573117776506
2026,5273.778787190616,4371.4611492843105,-5826.796064335962
